Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,epcf
BMXARMC,Arm Circumference (cm),BMX,Body Measures,1999,2000,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_B,Body Measures,2001,2002,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_C,Body Measures,2003,2004,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_E,Body Measures,2007,2008,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_F,Body Measures,2009,2010,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_G,Body Measures,2011,2012,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_H,Body Measures,2013,2014,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None,p
BMXARMC,Arm Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX,Body Measures,1999,2000,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_B,Body Measures,2001,2002,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_C,Body Measures,2003,2004,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_D,Body Measures,2005,2006,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_E,Body Measures,2007,2008,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_F,Body Measures,2009,2010,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_G,Body Measures,2011,2012,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_H,Body Measures,2013,2014,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_I,Body Measures,2015,2016,Examination,None,p
BMXARML,Upper Arm Length (cm),BMX_J,Body Measures,2017,2018,Examination,None,p
BMXBMI,Body Mass Index (kg/m**2),BMX,Body Measures,1999,2000,Examination,None,p
BMXBMI,Body Mass Index (kg/m**2),BMX_B,Body Measures,2001,2002,Examination,None,p
BMXBMI,Body Mass Index (kg/m**2),BMX_C,Body Measures,2003,2004,Examination,None,p
BMXBMI,Body Mass Index (kg/m**2),BMX_D,Body Measures,2005,2006,Examination,None,p
BMXBMI,Body Mass Index (kg/m**2),BMX_E,Body Measures,2007,2008,Examination,None,p
BMXBMI,Body Mass Index (kg/m**2),BMX_F,Body Measures,2009,2010,Examination,None,p
