Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,epcf,varname,category,subcategory
BMXARMC,Arm Circumference (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXARMC,anthropometric,NA
BMXARMC,Arm Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXARMC,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXARML,anthropometric,NA
BMXARML,Upper Arm Length (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXARML,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX,Body Measures,1999,2000,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXBMI,anthropometric,NA
BMXBMI,Body Mass Index (kg/m**2),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXBMI,anthropometric,NA
BMXCALF,Maximal Calf Circumference (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXCALF,anthropometric,NA
BMXCALF,Maximal Calf Circumference (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXCALF,anthropometric,NA
BMXCALF,Maximal Calf Circumference (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXCALF,anthropometric,NA
BMXCALF,Maximal Calf Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXCALF,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHEAD,Head Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXHEAD,anthropometric,NA
BMXHIP,Hip Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXHIP,anthropometric,NA
BMXHT,Standing Height (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXHT,anthropometric,NA
BMXHT,Standing Height (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXHT,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXLEG,anthropometric,NA
BMXLEG,Upper Leg Length (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXLEG,anthropometric,NA
