Data.File.Name,Variable.Name,Data.File.Description,Component,Use.Constraints,Begin.Year,EndYear,Variable.Description
DADA2RB_FAMILY_COUNT_G,RB_family1_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1)
DADA2RB_FAMILY_COUNT_G,RB_family2_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_2;NA
DADA2RB_FAMILY_COUNT_G,RB_family3_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;GOUTB8
DADA2RB_FAMILY_COUNT_G,RB_family4_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;NA
DADA2RB_FAMILY_COUNT_G,RB_family5_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;PAUC26f
DADA2RB_FAMILY_COUNT_G,RB_family6_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;SJA-149
DADA2RB_FAMILY_COUNT_G,RB_family7_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;Unknown_Family
DADA2RB_FAMILY_COUNT_G,RB_family8_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;11-24
DADA2RB_FAMILY_COUNT_G,RB_family9_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;DS-100
DADA2RB_FAMILY_COUNT_G,RB_family10_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;NA
DADA2RB_FAMILY_COUNT_G,RB_family11_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;RB41
DADA2RB_FAMILY_COUNT_G,RB_family12_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;Unknown_Family
DADA2RB_FAMILY_COUNT_G,RB_family13_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_5;NA
DADA2RB_FAMILY_COUNT_G,RB_family14_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Acidobacteria;Subgroup_6;NA
DADA2RB_FAMILY_COUNT_G,RB_family15_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae
DADA2RB_FAMILY_COUNT_G,RB_family16_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Holophagae;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family17_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Holophagae;Subgroup_10;ABS-19
DADA2RB_FAMILY_COUNT_G,RB_family18_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Holophagae;Subgroup_10;NA
DADA2RB_FAMILY_COUNT_G,RB_family19_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Holophagae;Subgroup_10;Sva0725
DADA2RB_FAMILY_COUNT_G,RB_family20_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Holophagae;Subgroup_7;NA
DADA2RB_FAMILY_COUNT_G,RB_family21_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;NA;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family22_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Acidobacteria;Subgroup_22;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family23_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
DADA2RB_FAMILY_COUNT_G,RB_family24_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales_Incertae_Sedis
DADA2RB_FAMILY_COUNT_G,RB_family25_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae
DADA2RB_FAMILY_COUNT_G,RB_family26_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA
DADA2RB_FAMILY_COUNT_G,RB_family27_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1_clade
DADA2RB_FAMILY_COUNT_G,RB_family28_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996_marine_group
DADA2RB_FAMILY_COUNT_G,RB_family29_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae
DADA2RB_FAMILY_COUNT_G,RB_family30_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae
DADA2RB_FAMILY_COUNT_G,RB_family31_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae
