Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,epcf
DR1TACAR,Alpha-carotene (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TACAR,Alpha-carotene (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TALCO,Alcohol (gm),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
