Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,series,epcf,varname,category,subcategory
DMAETHN,Logical Imputation Flag for Ethnicity,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMAETHN,NA,NA
DMARACE,Logical Imputation Flag for Race Recode,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMARACE,NA,NA
DMDBORN,In what country {were you/was SP} born?,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDBORN,NA,NA
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizens,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDCITZN,NA,NA
DMDEDUC,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDEDUC,NA,NA
DMDEDUC2,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDEDUC2,NA,NA
DMDEDUC3,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDEDUC3,NA,NA
DMDHHSIZ,Total number of people in the Household,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHHSIZ,NA,NA
DMDHRAGE,Age in years of the household reference person at the time of HH screening.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHRAGE,NA,NA
DMDHRBRN,In what country {were you/was NON-SP Head} born?,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHRBRN,NA,NA
DMDHREDU,What is the highest grade or level of school {you have/NON_SP HEAD has} rec,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHREDU,NA,NA
DMDHRGND,Gender of the household reference person,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHRGND,NA,NA
DMDHRMAR,Marital Status of household reference person,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHRMAR,NA,NA
DMDHSEDU,What is the highest grade or level of school {you have/NON-SP SPOUSE has co,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDHSEDU,NA,NA
DMDMARTL,Marital Status,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDMARTL,NA,NA
DMDSCHOL,{Are you/Is SP} now . . .,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDSCHOL,NA,NA
DMDYRSUS,Length of time SP has been in the US.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMDYRSUS,NA,NA
DMQMILIT,Did {you/SP} ever serve in the Armed Forces of the United States?,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,DMQMILIT,NA,NA
INDFMINC,Total family income (reported as a range value in dollars),DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,INDFMINC,NA,NA
INDFMPIR,Poverty income ratio (PIR) - a ratio of family income to poverty threshold,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,INDFMPIR,NA,NA
INDHHINC,Total household income (reported as a range value in dollars),DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,INDHHINC,NA,NA
RIAGENDR,Gender of the sample person,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIAGENDR,pollutant,brominated
RIDAGEEX,Best age in months at date of examination for individuals under 85 years of,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDAGEEX,NA,NA
RIDAGEMN,Best age in months at date of screening for individuals under 85 years of a,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDAGEMN,NA,NA
RIDAGEYR,Best age in years of the sample person at time of HH screening.  Individual,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDAGEYR,NA,NA
RIDEXMON,Six month time period when the examination was performed - two categories:,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDEXMON,NA,NA
