Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,n,select
WTSA2YR,Subsample A Weights,AA_H,Aromatic Amines - Urine,69,
URD1NPLC,"1-Aminonaphthalene, urine Comment Code",AA_H,Aromatic Amines - Urine,2,
URD2NPLC,"2-Aminonaphthalene, urine Comment Code",AA_H,Aromatic Amines - Urine,2,
URD4BPLC,"4-Aminobiphenyl, urine Comment Code",AA_H,Aromatic Amines - Urine,2,
URDANSLC,"o-Anisidine, urine Comment Code",AA_H,Aromatic Amines - Urine,2,
URDDMNLC,"2,6-Dimethylaniline, urine Comment Code",AA_H,Aromatic Amines - Urine,2,
URDOTDLC,"o-Toluidine, urine Comment Code",AA_H,Aromatic Amines - Urine,2,
URX1NP,"1-Aminonaphthalene, urine (pg/mL)",AA_H,Aromatic Amines - Urine,2,1
URX2NP,"2-Aminonaphthalene, urine (pg/mL)",AA_H,Aromatic Amines - Urine,2,1
URX4BP,"4-Aminobiphenyl, urine (pg/mL)",AA_H,Aromatic Amines - Urine,2,1
URXANS,"o-Anisidine, urine (pg/mL)",AA_H,Aromatic Amines - Urine,2,1
URXDMN,"2,6-Dimethylaniline, urine (pg/mL)",AA_H,Aromatic Amines - Urine,2,1
URXOTD,"o-Toluidine, urine (pg/mL)",AA_H,Aromatic Amines - Urine,2,1
WTFSM,Two Year Smoking Weights,AAS_H,Aromatic Amines - Urine - Special Sample,14,
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",AGQ_D,Allergy,4,
AGD020,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} ,AGQ_D,Allergy,1,
AGD050,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} ,AGQ_D,Allergy,1,
AGD170,At what age did this itchy rash first occur?,AGQ_D,Allergy,1,
AGQ010,Has a doctor or other health professional ever told {you/SP} that {you have,AGQ_D,Allergy,1,
AGQ040,Has a doctor or other health professional ever told {you/SP} that {you have,AGQ_D,Allergy,1,
AGQ060,"During the past 12 months, {have you/has SP} had any allergy symptoms or an",AGQ_D,Allergy,1,
AGQ070,"In the last 12 months, {have you/has SP} removed a dog, cat or other small ",AGQ_D,Allergy,1,
AGQ080A,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,1,
AGQ080B,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,1,
AGQ080C,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,1,
AGQ090,{Have you/Has SP} avoided bringing new pets into {your/his/her} home becaus,AGQ_D,Allergy,1,
AGQ100,"During the past 12 months, {have you/has SP} had a problem with sneezing, o",AGQ_D,Allergy,1,
AGQ110A,In which season did this nose problem occur?,AGQ_D,Allergy,1,
AGQ110B,In which season did this nose problem occur?,AGQ_D,Allergy,1,
AGQ110C,In which season did this nose problem occur?,AGQ_D,Allergy,1,
