pvardesc,phenotype,number_exposures_in_model_20,rsq_exposures_10_20
Arm Circumference (cm),BMXARMC,20,0.049523594310956764
Upper Arm Length (cm),BMXARML,20,0.015301327529705255
Body Mass Index (kg/m**2),BMXBMI,20,0.09722100076226375
Maximal Calf Circumference (cm),BMXCALF,20,0.07934959554889898
Standing Height (cm),BMXHT,20,0.0314448136096398
Upper Leg Length (cm),BMXLEG,20,0.007489652525139667
Subscapular Skinfold (mm),BMXSUB,20,0.06171989341095219
Thigh Circumference (cm),BMXTHICR,20,0.09538722768389715
Triceps Skinfold (mm),BMXTRI,20,0.06775955578467285
Waist Circumference (cm),BMXWAIST,20,0.07420860579457522
Weight (kg),BMXWT,20,0.04614820673233
60 sec HR (30 sec HR * 2),BPXCHR,2,0.001008079942647986
Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPXSY4,10,0.015305471386283298
Estimated maximal oxygen uptake (ml/kg/min).,CVDESVO2,14,0.034558570105397785
Cardiovascular fitness level,CVDFITLV,20,0.046392787806018215
Predicted maximal oxygen uptake (ml/kg/min),CVDVOMAX,20,0.0583309616813501
Calculated DO for femur,DXAFMRD0,20,0.040054448978871615
Calculated K for femur,DXAFMRK,8,0.028320984061189963
Calculated D0 for spine,DXASPND0,20,0.07386923822733193
Calculated K for spine,DXASPNK,10,0.00927222879824098
Head Lean excl Bone Mineral Content (grams),DXDHELE,6,0.004710996915871957
Head Percent Fat,DXDHEPF,9,0.017026755228360113
Head Total (grams),DXDHETOT,7,0.004869279229203605
Left Arm Lean excl Body Mineral Content (grams),DXDLALE,15,0.010292363116312986
Left Arm Percent Fat,DXDLAPF,15,0.018293881648931254
Left Arm Total (grams),DXDLATOT,16,0.016375293517264133
Left Leg Lean excl Bone Mineral Content (grams),DXDLLLE,20,0.02451020562416195
Left Leg Percent Fat,DXDLLPF,8,0.013310348569429031
Left Leg Total (grams),DXDLLTOT,16,0.0200906627313176
Right Arm Lean excl Bone Mineral Content (grams),DXDRALE,16,0.011507737661006878
Right Arm Percent Fat,DXDRAPF,18,0.0242273082273205
Right Arm Total (grams),DXDRATOT,15,0.01476312270410124
Right Leg Lean excl Bone Mineral Content (grams),DXDRLLE,20,0.025773843255009865
Right Leg Percent Fat,DXDRLPF,8,0.015716511364169516
Right Leg Total (grams),DXDRLTOT,20,0.0207782026213158
Subtotal Area (cm^2),DXDSTA,11,0.007567924334036746
Subtotal Bone Mineral Content (grams),DXDSTBMC,9,0.006379839936531906
Subtotal Bone Mineral Density (grams/cm^2),DXDSTBMD,13,0.005433224120457658
Subtotal Fat (g),DXDSTFAT,20,0.024326014991179035
Subtotal Lean excl BMC (g),DXDSTLE,16,0.009856910723055279
Subtotal Lean incl BMC (g),DXDSTLI,15,0.011759455217319914
Subtotal Percent Fat,DXDSTPF,16,0.018484210548351143
Subtotal (Total excl Head) (g),DXDSTTOT,20,0.022578276307974765
Total Area (cm^2),DXDTOA,9,0.004198896815745479
Total Bone Mineral Content (g),DXDTOBMC,9,0.0034304592839962122
Total Bone Mineral Density (g/cm^2),DXDTOBMD,10,0.0031475554987876464
Total Fat (g),DXDTOFAT,20,0.023118499265669556
Total Lean excl BMC (g),DXDTOLE,16,0.01028395349659117
Total Lean incl BMC (g),DXDTOLI,15,0.008545087267257667
Total Percent Fat,DXDTOPF,16,0.018617606930811437
Total Lean+Fat (g),DXDTOTOT,19,0.016611566139681067
Trunk Bone area (cm^2),DXDTRA,11,0.008595649349359191
Trunk Bone Mineral Content (grams),DXDTRBMC,9,0.006787923701041976
Trunk Bone BMD (g/cm^2),DXDTRBMD,10,0.005189585603641578
Trunk Lean excl Bone Mineral Content (grams),DXDTRLE,17,0.010113369724980115
Trunk Percent Fat,DXDTRPF,19,0.027980955463511037
Trunk Total (grams),DXDTRTOT,20,0.018135676712808746
Android/gynoid region status,DXXAGST,10,0.033752662386942925
Android fat mass,DXXANFM,20,0.008882237837628426
Android lean mass,DXXANLM,20,0.03949007552140349
Gynoid fat mass,DXXGYFM,20,0.06067068560867023
Gynoid lean mass,DXXGYLM,20,0.02729024210412634
Gynoid total mass,DXXGYTOM,20,0.06262914338670128
Head Bone Mineral Content (grams),DXXHEBMC,2,0.001429324211453531
Head Bone Mineral Density (grams/cm^2),DXXHEBMD,3,0.0015920546531614788
Head Fat (grams),DXXHEFAT,9,0.007277717300132769
Head Lean incl Bone Mineral Content (grams),DXXHELI,6,0.003938558282101989
Intertrochanter area (cm^2),DXXINA,12,0.005023139995393389
Intertrochanter bone mineral content (gm),DXXINBMC,20,0.012473638350671834
Intertrochanter bone mineral density (gm/cm^2),DXXINBMD,20,0.015746768837475
L1 area,DXXL1A,18,0.001798490868481939
L1 Bone Mineral Composition,DXXL1BMC,20,0.014963884493684965
L1 Bone Mineral Density,DXXL1BMD,20,0.024001145330582008
L1 TBS,DXXL1TBS,8,0.011453543607942207
L2 area,DXXL2A,17,0.009567916876346061
L2 Bone Mineral Composition,DXXL2BMC,20,0.013074732196569239
L2 Bone Mineral Density,DXXL2BMD,20,0.015756086129475322
L2 TBS,DXXL2TBS,13,0.021066977384365942
L3 area,DXXL3A,17,0.0043421567056392
L3 Bone Mineral Composition,DXXL3BMC,20,0.01000532308239932
L3 TBS,DXXL3TBS,10,0.01448404612073595
L4 area,DXXL4A,14,0.006450835593009241
L4 Bone Mineral Composition,DXXL4BMC,20,0.007102888223713355
L4 Bone Mineral Density,DXXL4BMD,20,0.02069389554684109
L4 TBS,DXXL4TBS,14,0.019678794290418855
Left Arm Area (cm^2),DXXLAA,11,0.006659914150402013
Left Arm Body Mineral Content (grams),DXXLABMC,11,0.0069674599273263915
Left Arm Body Mineral Density (grams/cm^2),DXXLABMD,10,0.004665219889556149
Left Arm Fat (grams),DXXLAFAT,17,0.022881885101441318
Left Arm Lean incl BMC (grams),DXXLALI,15,0.011243668050605393
Left Leg Area(cm^2),DXXLLA,7,0.0028491557398643286
Left Leg Bone Mineral Content (grams),DXXLLBMC,7,0.0028904128461554324
